# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	68906415	68907413	-	XP_029634935.1		XM_029779075.1	uncharacterized protein LOC115210471	LOC115210471	115210471		999	332	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	68935139	68958249	+					LOC115211022	115211022		23111		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	68935139	68958249	+	XM_029779869.2		XP_029635729.2	uncharacterized LOC115211022	LOC115211022	115211022		1273	1273	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	68935386	68957970	+	XP_029635729.2		XM_029779869.2	uncharacterized protein LOC115211022	LOC115211022	115211022		747	248	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	68957713	68997497	-					LOC115210877	115210877		39785		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	68957713	68977667	-	XM_036502114.1		XP_036358007.1	palmitoyltransferase ZDHHC4, transcript variant X3	LOC115210877	115210877		897	897	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	68957887	68977625	-	XP_036358007.1		XM_036502114.1	palmitoyltransferase ZDHHC4 isoform X3	LOC115210877	115210877		681	226	
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	68957945	68997497	-	XM_036502113.1		XP_036358006.1	palmitoyltransferase ZDHHC4, transcript variant X2	LOC115210877	115210877		1002	1002	
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	68957945	68997497	-	XM_029779646.2		XP_029635506.1	palmitoyltransferase ZDHHC4, transcript variant X1	LOC115210877	115210877		1089	1089	
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	68957945	68977673	-	XM_029779647.2		XP_029635507.1	palmitoyltransferase ZDHHC4, transcript variant X4	LOC115210877	115210877		1031	1031	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	68957953	68977629	-	XP_036358006.1		XM_036502113.1	palmitoyltransferase ZDHHC4 isoform X2	LOC115210877	115210877		732	243	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	68957953	68977629	-	XP_029635506.1		XM_029779646.2	palmitoyltransferase ZDHHC4 isoform X1	LOC115210877	115210877		819	272	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	68957953	68977625	-	XP_029635507.1		XM_029779647.2	palmitoyltransferase ZDHHC4 isoform X4	LOC115210877	115210877		975	324	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	69011565	69066247	+					LOC115210933	115210933		54683		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	69011565	69066247	+	XM_029779721.2		XP_029635581.1	ethanolamine-phosphate cytidylyltransferase, transcript variant X1	LOC115210933	115210933		1452	1452	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	69011728	69066041	+	XP_029635581.1		XM_029779721.2	ethanolamine-phosphate cytidylyltransferase isoform X1	LOC115210933	115210933		1083	360	
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	69027523	69066247	+	XM_036502115.1		XP_036358008.1	ethanolamine-phosphate cytidylyltransferase, transcript variant X2	LOC115210933	115210933		1369	1369	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	69027849	69066041	+	XP_036358008.1		XM_036502115.1	ethanolamine-phosphate cytidylyltransferase isoform X2	LOC115210933	115210933		1032	343	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	69080045	69091045	-					LOC115210621	115210621		11001		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	69080045	69091045	-	XM_029779223.2		XP_029635083.1	uncharacterized LOC115210621	LOC115210621	115210621		1221	1221	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	69080582	69090940	-	XP_029635083.1		XM_029779223.2	uncharacterized protein LOC115210621	LOC115210621	115210621		579	192	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	69290058	69306211	+					LOC115211071	115211071		16154		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	69290058	69306211	+	XM_036502119.1		XP_036358012.1	collagen alpha-1(XXVIII) chain-like, transcript variant X4	LOC115211071	115211071		2133	2133	
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	69290059	69306211	+	XM_029779960.2		XP_029635820.1	collagen alpha-1(XXVIII) chain-like, transcript variant X1	LOC115211071	115211071		2258	2258	
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	69290059	69306211	+	XM_036502118.1		XP_036358011.1	collagen alpha-1(XXVIII) chain-like, transcript variant X3	LOC115211071	115211071		2207	2207	
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	69290059	69306211	+	XM_036502117.1		XP_036358010.1	collagen alpha-1(XXVIII) chain-like, transcript variant X2	LOC115211071	115211071		2207	2207	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	69290355	69305671	+	XP_029635820.1		XM_029779960.2	collagen alpha-1(XXVIII) chain-like isoform X1	LOC115211071	115211071		1422	473	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	69290355	69305671	+	XP_036358011.1		XM_036502118.1	collagen alpha-1(XXVIII) chain-like isoform X3	LOC115211071	115211071		1371	456	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	69290355	69305671	+	XP_036358010.1		XM_036502117.1	collagen alpha-1(XXVIII) chain-like isoform X2	LOC115211071	115211071		1371	456	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	69290355	69305671	+	XP_036358012.1		XM_036502119.1	uncharacterized protein LOC115211071 isoform X4	LOC115211071	115211071		1296	431	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	69378829	69396826	+					LOC115210637	115210637		17998		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	69378829	69396826	+	XM_029779286.2		XP_029635146.1	uncharacterized LOC115210637, transcript variant X1	LOC115210637	115210637		2128	2128	
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	69378829	69396826	+	XM_036502116.1		XP_036358009.1	uncharacterized LOC115210637, transcript variant X2	LOC115210637	115210637		2098	2098	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	69379018	69396738	+	XP_029635146.1		XM_029779286.2	uncharacterized protein LOC115210637 isoform X1	LOC115210637	115210637		1851	616	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	69379018	69396738	+	XP_036358009.1		XM_036502116.1	uncharacterized protein LOC115210637 isoform X2	LOC115210637	115210637		1821	606	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	69465247	69469560	-					LOC115210638	115210638		4314		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	69465247	69469560	-	XM_029779287.2		XP_029635147.1	collagen alpha-1(XII) chain-like	LOC115210638	115210638		1850	1850	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	69465460	69469447	-	XP_029635147.1		XM_029779287.2	collagen alpha-1(XII) chain-like	LOC115210638	115210638		1524	507	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	69482942	69487653	+					LOC115210640	115210640		4712		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	69482942	69487653	+	XM_036502120.1		XP_036358013.1	collagen alpha-1(XII) chain-like, transcript variant X2	LOC115210640	115210640		1834	1834	
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	69482943	69487653	+	XM_029779289.2		XP_029635149.1	collagen alpha-1(XII) chain-like, transcript variant X1	LOC115210640	115210640		1839	1839	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	69483085	69487369	+	XP_029635149.1		XM_029779289.2	collagen alpha-1(XII) chain-like isoform X1	LOC115210640	115210640		1413	470	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	69483085	69487369	+	XP_036358013.1		XM_036502120.1	collagen alpha-1(XII) chain-like isoform X2	LOC115210640	115210640		1407	468	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	69491175	69495106	+					LOC115210472	115210472		3932		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	69491175	69495106	+	XM_029779076.1		XP_029634936.1	uncharacterized LOC115210472	LOC115210472	115210472		2799	2799	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	69491175	69495106	+	XP_029634936.1		XM_029779076.1	uncharacterized protein LOC115210472	LOC115210472	115210472		2799	932	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	69547400	69558737	+					LOC115210639	115210639		11338		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	69547400	69558737	+	XM_029779288.2		XP_029635148.1	collagen alpha-1(XII) chain	LOC115210639	115210639		1686	1686	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	69547507	69558586	+	XP_029635148.1		XM_029779288.2	collagen alpha-1(XII) chain	LOC115210639	115210639		1428	475	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	69627982	69639021	+					LOC115210474	115210474		11040		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	69627982	69639021	+	XM_029779077.2		XP_029634937.1	uncharacterized LOC115210474	LOC115210474	115210474		1471	1471	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	69628065	69639010	+	XP_029634937.1		XM_029779077.2	uncharacterized protein LOC115210474	LOC115210474	115210474		1377	458	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	69683974	69689426	+					LOC118763242	118763242		5453		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	69683974	69689426	+	XM_036502662.1		XP_036358555.1	uncharacterized LOC118763242	LOC118763242	118763242		584	584	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	69683980	69689406	+	XP_036358555.1		XM_036502662.1	uncharacterized protein LOC118763242	LOC118763242	118763242		558	185	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	69979107	70197018	-					LOC115210475	115210475		217912		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	69979107	70197018	-	XM_029779078.2		XP_029634938.1	arg8-vasotocin receptor-like	LOC115210475	115210475		1922	1922	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	69979359	69995554	-	XP_029634938.1		XM_029779078.2	arg8-vasotocin receptor-like	LOC115210475	115210475		1173	390	
gene	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70083580	70085524	+					LOC118762995	118762995		1945		
ncRNA	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70083580	70085524	+	XR_004998749.1			uncharacterized LOC118762995	LOC118762995	118762995		191	191	
gene	snRNA	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70129226	70129332	-					LOC115211334	115211334		107		
ncRNA	snRNA	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70129226	70129332	-	XR_003881603.1			U6 spliceosomal RNA	LOC115211334	115211334		107	107	
gene	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70316486	70337078	-					LOC118763243	118763243		20593		
ncRNA	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70316486	70337078	-	XR_004998993.1			uncharacterized LOC118763243	LOC118763243	118763243		151	151	
gene	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70478708	70505329	+					LOC118763244	118763244		26622		
ncRNA	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70478708	70505329	+	XR_004998994.1			uncharacterized LOC118763244	LOC118763244	118763244		129	129	
gene	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70522034	70529723	+					LOC118762996	118762996		7690		
ncRNA	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70522034	70529723	+	XR_004998750.1			uncharacterized LOC118762996	LOC118762996	118762996		844	844	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70531133	70550134	+					LOC115210290	115210290		19002		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70531133	70550134	+	XM_029778797.2		XP_029634657.1	40S ribosomal protein S8	LOC115210290	115210290		902	902	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70531262	70549988	+	XP_029634657.1		XM_029778797.2	40S ribosomal protein S8	LOC115210290	115210290		627	208	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70561572	70657356	-					LOC115210477	115210477		95785		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70561572	70657356	-	XM_036502632.1		XP_036358525.1	histone lysine demethylase PHF8	LOC115210477	115210477		6483	6483	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70562505	70657356	-	XP_036358525.1		XM_036502632.1	histone lysine demethylase PHF8	LOC115210477	115210477		5550	1849	
gene	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70664791	70676708	+					LOC115211055	115211055		11918		
ncRNA	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70664791	70676708	+	XR_003881461.2			uncharacterized LOC115211055	LOC115211055	115211055		472	472	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70693760	70728728	-					LOC115211054	115211054		34969		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70693760	70728728	-	XM_029779933.2		XP_029635793.1	cyclin-dependent kinase 20, transcript variant X4	LOC115211054	115211054		2742	2742	
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70693760	70728728	-	XM_029779934.2		XP_029635794.1	cyclin-dependent kinase 20, transcript variant X2	LOC115211054	115211054		2747	2747	
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70693760	70728728	-	XM_029779930.2		XP_029635790.1	cyclin-dependent kinase 20, transcript variant X3	LOC115211054	115211054		2761	2761	
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70693760	70728728	-	XM_029779931.2		XP_029635791.1	cyclin-dependent kinase 20, transcript variant X5	LOC115211054	115211054		2767	2767	
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70693760	70727179	-	XM_036502121.1		XP_036358014.1	cyclin-dependent kinase 20, transcript variant X6	LOC115211054	115211054		1911	1911	
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70693760	70726369	-	XM_029779935.2		XP_029635795.1	cyclin-dependent kinase 20, transcript variant X7	LOC115211054	115211054		1486	1486	
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70693760	70726361	-	XM_029779929.2		XP_029635789.1	cyclin-dependent kinase 20, transcript variant X1	LOC115211054	115211054		1667	1667	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70694299	70726304	-	XP_029635795.1		XM_029779935.2	cyclin-dependent kinase 20 isoform X3	LOC115211054	115211054		882	293	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70694299	70726304	-	XP_029635789.1		XM_029779929.2	cyclin-dependent kinase 20 isoform X1	LOC115211054	115211054		1071	356	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70694299	70725139	-	XP_029635790.1		XM_029779930.2	cyclin-dependent kinase 20 isoform X2	LOC115211054	115211054		1023	340	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70694299	70725139	-	XP_029635791.1		XM_029779931.2	cyclin-dependent kinase 20 isoform X2	LOC115211054	115211054		1023	340	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70694299	70725139	-	XP_029635793.1		XM_029779933.2	cyclin-dependent kinase 20 isoform X2	LOC115211054	115211054		1023	340	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70694299	70725139	-	XP_029635794.1		XM_029779934.2	cyclin-dependent kinase 20 isoform X2	LOC115211054	115211054		1023	340	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70694299	70725139	-	XP_036358014.1		XM_036502121.1	cyclin-dependent kinase 20 isoform X2	LOC115211054	115211054		1023	340	
gene	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70756691	70765922	+					LOC118762997	118762997		9232		
ncRNA	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70756691	70765922	+	XR_004998751.1			uncharacterized LOC118762997	LOC118762997	118762997		268	268	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70773215	70891772	-					LOC115210842	115210842		118558		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70773215	70891772	-	XM_036502633.1		XP_036358526.1	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase	LOC115210842	115210842		1566	1566	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70773215	70891463	-	XP_036358526.1		XM_036502633.1	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase	LOC115210842	115210842		1257	418	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70891901	70899257	+					LOC118762998	118762998		7357		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70891901	70899257	+	XM_036502125.1		XP_036358018.1	ubiquitin thioesterase OTU1-like, transcript variant X1	LOC118762998	118762998		1443	1443	
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70892476	70899257	+	XM_036502126.1		XP_036358019.1	ubiquitin thioesterase OTU1-like, transcript variant X2	LOC118762998	118762998		1263	1263	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70898211	70899146	+	XP_036358018.1		XM_036502125.1	ubiquitin thioesterase OTU1-like	LOC118762998	118762998		936	311	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70898211	70899146	+	XP_036358019.1		XM_036502126.1	ubiquitin thioesterase OTU1-like	LOC118762998	118762998		936	311	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70920954	70970919	+					LOC115211035	115211035		49966		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70920954	70970919	+	XM_036502124.1		XP_036358017.1	nicotinamide phosphoribosyltransferase, transcript variant X2	LOC115211035	115211035		1725	1725	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70921117	70970794	+	XP_036358017.1		XM_036502124.1	nicotinamide phosphoribosyltransferase isoform X2	LOC115211035	115211035		1437	478	
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70923469	70970919	+	XM_036502123.1		XP_036358016.1	nicotinamide phosphoribosyltransferase, transcript variant X1	LOC115211035	115211035		1523	1523	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70923484	70970794	+	XP_036358016.1		XM_036502123.1	nicotinamide phosphoribosyltransferase isoform X1	LOC115211035	115211035		1383	460	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70971248	70999660	-					LOC115211036	115211036		28413		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70971248	70999660	-	XM_029779900.2		XP_029635760.1	RAD52 motif-containing protein 1, transcript variant X3	LOC115211036	115211036		1381	1381	
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70971248	70999660	-	XM_029779899.2		XP_029635759.1	RAD52 motif-containing protein 1, transcript variant X1	LOC115211036	115211036		1498	1498	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70971791	70999608	-	XP_029635760.1		XM_029779900.2	RAD52 motif-containing protein 1 isoform X2	LOC115211036	115211036		786	261	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70971791	70999608	-	XP_029635759.1		XM_029779899.2	RAD52 motif-containing protein 1 isoform X1	LOC115211036	115211036		903	300	
misc_RNA		GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	70971893	70999660	-	XR_004998752.1			RAD52 motif-containing protein 1, transcript variant X2	LOC115211036	115211036		940	940	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	71040537	71050284	-					LOC115210478	115210478		9748		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	71040537	71050284	-	XM_029779080.2		XP_029634940.2	protein ABHD13	LOC115210478	115210478		1378	1378	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	71040552	71049527	-	XP_029634940.2		XM_029779080.2	protein ABHD13	LOC115210478	115210478		606	201	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	71089124	71119777	+					LOC115210479	115210479		30654		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	71089124	71119777	+	XM_029779082.2		XP_029634942.1	kelch-like protein 2	LOC115210479	115210479		1382	1382	
gene	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	71107837	71109699	-					LOC118762999	118762999		1863		
ncRNA	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	71107837	71109699	-	XR_004998753.1			uncharacterized LOC118762999	LOC118762999	118762999		798	798	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	71117273	71119762	+	XP_029634942.1		XM_029779082.2	kelch-like protein 2	LOC115210479	115210479		1179	392	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	71152814	71301287	+					LOC115210289	115210289		148474		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	71152814	71301287	+	XM_036502128.1		XP_036358021.1	uncharacterized LOC115210289	LOC115210289	115210289		9928	9928	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	71152823	71300689	+	XP_036358021.1		XM_036502128.1	uncharacterized protein LOC115210289	LOC115210289	115210289		9321	3106	
gene	snRNA	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	71243734	71243848	-					LOC115211384	115211384		115		
ncRNA	snRNA	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	71243734	71243848	-	XR_003881643.1			U6atac minor spliceosomal RNA	LOC115211384	115211384		115	115	
gene	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	71339243	71445526	-					LOC118763000	118763000		106284		
ncRNA	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	71339243	71445526	-	XR_004998754.1			uncharacterized LOC118763000	LOC118763000	118763000		1207	1207	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	71496387	71525076	-					LOC115211038	115211038		28690		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	71496387	71525076	-	XM_036502129.1		XP_036358022.1	kelch-like protein 5	LOC115211038	115211038		1183	1183	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	71496992	71498607	-	XP_036358022.1		XM_036502129.1	kelch-like protein 5	LOC115211038	115211038		393	130	
gene	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	71544231	71556396	-					LOC118763245	118763245		12166		
ncRNA	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	71544231	71556396	-	XR_004998995.1			uncharacterized LOC118763245	LOC118763245	118763245		199	199	
gene	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	71576063	71579162	+					LOC118763001	118763001		3100		
ncRNA	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	71576063	71579162	+	XR_004998755.1			uncharacterized LOC118763001	LOC118763001	118763001		2779	2779	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	71591286	71616362	-					LOC115210480	115210480		25077		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	71591286	71616362	-	XM_029779083.2		XP_029634943.2	cilia- and flagella-associated protein 300-like	LOC115210480	115210480		401	401	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	71591286	71616333	-	XP_029634943.2		XM_029779083.2	cilia- and flagella-associated protein 300-like	LOC115210480	115210480		372	123	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	71616245	71630558	-					LOC118763002	118763002		14314		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	71616245	71630558	-	XM_036502130.1		XP_036358023.1	cilia- and flagella-associated protein 300-like	LOC118763002	118763002		463	463	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	71616360	71630543	-	XP_036358023.1		XM_036502130.1	cilia- and flagella-associated protein 300-like	LOC118763002	118763002		333	110	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	71626904	71631786	+					LOC115210481	115210481		4883		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	71626904	71631786	+	XM_029779084.2		XP_029634944.2	uncharacterized LOC115210481	LOC115210481	115210481		822	822	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	71626935	71631670	+	XP_029634944.2		XM_029779084.2	uncharacterized protein LOC115210481	LOC115210481	115210481		675	224	
gene	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	71632623	71642481	+					LOC118763003	118763003		9859		
ncRNA	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	71632623	71642481	+	XR_004998756.1			uncharacterized LOC118763003	LOC118763003	118763003		138	138	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG4	NC_043000.1	71678866	71682959	+					LOC115210300	115210300		4094		
